001,60000,50000,40000,30000,20000
002,75000,60000,45000,30000,15000
003,100000,800000,60000,40000,20000
004,180000,150000,120000,90000,60000
005,180000,150000,120000,90000,60000
006,180000,150000,120000,90000,60000
007,180000,150000,120000,90000,60000
008,180000,150000,120000,90000,60000
009,180000,150000,120000,90000,60000
010,180000,150000,120000,90000,60000
011,180000,150000,120000,90000,60000
012,180000,150000,120000,90000,60000
013,180000,150000,120000,90000,60000
014,180000,150000,120000,90000,60000
015,180000,150000,120000,90000,60000
016,180000,150000,120000,90000,60000
017,180000,150000,120000,90000,60000
018,180000,150000,120000,90000,60000
019,180000,150000,120000,90000,60000
020,180000,150000,120000,90000,60000
021,180000,150000,120000,90000,60000
022,180000,150000,120000,90000,60000
023,180000,150000,120000,90000,60000
024,180000,150000,120000,90000,60000
025,180000,150000,120000,90000,60000
026,180000,150000,120000,90000,60000
027,180000,150000,120000,90000,60000
028,180000,150000,120000,90000,60000
029,180000,150000,120000,90000,60000
030,180000,150000,120000,90000,60000
